"team_won","first_team","second_team","category"
"India","Sri Lanka 236/8 (50/50 ov)","India 231/7","ODI"
"India","Sri Lanka 217/9 (50/50 ov)","India 218/4","ODI"
"India","India 375/5 (50/50 ov)","Sri Lanka 207","ODI"
"India","Sri Lanka 238 (49.4/50 ov)","India 239/4","ODI"
"England","West Indies 204/9 (42/42 ov)","England 210/3","ODI"
"England","England 369/9 (50/50 ov)","West Indies 245","ODI"
"England","West Indies 356/5 (50/50 ov)","England 258/5 (35.1/35.1 ov, target: 253)



 Scorecard

	Report

	Articles","ODI"
"England","West Indies 288/6 (50/50 ov)","England 294/1","ODI"
"United","Papua New Guinea 102 (18.2/20 ov)","United Arab Emirates 108/5","T20I"
"United","United Arab Emirates 180/3 (20/20 ov)","Papua New Guinea 150","T20I"
"United","Papua New Guinea 128/5 (20/20 ov)","United Arab Emirates 130/5","T20I"
"Pakistan","West Indies 111/8 (20/20 ov)","Pakistan 115/4","T20I"
"Pakistan","Pakistan 132 (20/20 ov)","West Indies 129/8","T20I"
"West","Pakistan 137/8 (20/20 ov)","West Indies 138/3","T20I"
"Pakistan","West Indies 124/8 (20/20 ov)","Pakistan 127/3","T20I"
"West","Afghanistan 110 (20/20 ov)","West Indies 114/4","T20I"
"West","West Indies 112/3 (15/15 ov)","Afghanistan 93 (13.3/15 ov, target: 123)



 Scorecard

	Report

	Photos","T20I"
"West","Afghanistan 146/6 (20/20 ov)","West Indies 147/3","T20I"
"England","South Africa 142/3 (20/20 ov)","England 143/1","T20I"
"South","South Africa 174/8 (20/20 ov)","England 171/6","T20I"
"England","England 181/8 (20/20 ov)","South Africa 162/7","T20I"
"West","India 190/6 (20/20 ov)","West Indies 194/1","T20I"
"India","Sri Lanka 170/7 (20/20 ov)","India 174/3","T20I"
"West","West Indies 176/9 (20/20 ov)","England 155","T20I"
"Sunrisers","Sunrisers Hyderabad 207/4 (20/20 ov)","Royal Challengers Bangalore 172","T20L"
"Rising","Mumbai Indians 184/8 (20/20 ov)","Rising Pune Supergiant 187/3","T20L"
"Kolkata","Gujarat Lions 183/4 (20/20 ov)","Kolkata Knight Riders 184/0","T20L"
"Kings","Rising Pune Supergiant 163/6 (20/20 ov)","Kings XI Punjab 164/4","T20L"
"Royal","Royal Challengers Bangalore 157/8 (20/20 ov)","Delhi Daredevils 142/9","T20L"
"Sunrisers","Gujarat Lions 135/7 (20/20 ov)","Sunrisers Hyderabad 140/1","T20L"
"Mumbai","Kolkata Knight Riders 178/7 (20/20 ov)","Mumbai Indians 180/6","T20L"
"Kings","Royal Challengers Bangalore 148/4 (20/20 ov)","Kings XI Punjab 150/2","T20L"
"Delhi","Delhi Daredevils 205/4 (20/20 ov)","Rising Pune Supergiant 108","T20L"
"Mumbai","Sunrisers Hyderabad 158/8 (20/20 ov)","Mumbai Indians 159/6","T20L"
"Kolkata","Kings XI Punjab 170/9 (20/20 ov)","Kolkata Knight Riders 171/2","T20L"
"Mumbai","Royal Challengers Bangalore 142/5 (20/20 ov)","Mumbai Indians 145/6","T20L"
"Gujarat","Rising Pune Supergiant 171/8 (20/20 ov)","Gujarat Lions 172/3","T20L"
"Kolkata","Kolkata Knight Riders 172/6 (20/20 ov)","Sunrisers Hyderabad 155/6","T20L"
"Delhi","Delhi Daredevils 188/6 (20/20 ov)","Kings XI Punjab 137/9","T20L"
"Mumbai","Gujarat Lions 176/4 (20/20 ov)","Mumbai Indians 177/4","T20L"
"Rising","Rising Pune Supergiant 161/8 (20/20 ov)","Royal Challengers Bangalore 134/9","T20L"
"Kolkata","Delhi Daredevils 168/7 (20/20 ov)","Kolkata Knight Riders 169/6","T20L"
"Sunrisers","Sunrisers Hyderabad 159/6 (20/20 ov)","Kings XI Punjab 154","T20L"
"Royal","Royal Challengers Bangalore 213/2 (20/20 ov)","Gujarat Lions 192/7","T20L"
"Sunrisers","Sunrisers Hyderabad 191/4 (20/20 ov)","Delhi Daredevils 176/5","T20L"
"Mumbai","Kings XI Punjab 198/4 (20/20 ov)","Mumbai Indians 199/2","T20L"
"Gujarat","Kolkata Knight Riders 187/5 (20/20 ov)","Gujarat Lions 188/6","T20L"
"Rising","Sunrisers Hyderabad 176/3 (20/20 ov)","Rising Pune Supergiant 179/4","T20L"
"Mumbai","Mumbai Indians 142/8 (20/20 ov)","Delhi Daredevils 128/7","T20L"
"Kings","Kings XI Punjab 188/7 (20/20 ov)","Gujarat Lions 162/7","T20L"
"Kolkata","Kolkata Knight Riders 131 (19.3/20 ov)","Royal Challengers Bangalore 49","T20L"
"Rising","Rising Pune Supergiant 160/6 (20/20 ov)","Mumbai Indians 157/8","T20L"
"Kolkata","Rising Pune Supergiant 182/5 (20/20 ov)","Kolkata Knight Riders 184/3","T20L"
"Gujarat","Royal Challengers Bangalore 134 (20/20 ov)","Gujarat Lions 135/3","T20L"
"Kolkata","Delhi Daredevils 160/6 (20/20 ov)","Kolkata Knight Riders 161/3","T20L"
"Sunrisers","Sunrisers Hyderabad 207/3 (20/20 ov)","Kings XI Punjab 181/9","T20L"
"Rising","Rising Pune Supergiant 157/3 (20/20 ov)","Royal Challengers Bangalore 96/9","T20L"
"Kings","Delhi Daredevils 67 (17.1/20 ov)","Kings XI Punjab 68/0","T20L"
"Sunrisers","Sunrisers Hyderabad 209/3 (20/20 ov)","Kolkata Knight Riders 161/7","T20L"
"Mumbai","Royal Challengers Bangalore 162/8 (20/20 ov)","Mumbai Indians 165/5","T20L"
"Rising","Gujarat Lions 161 (19.5/20 ov)","Rising Pune Supergiant 167/5","T20L"
"Delhi","Sunrisers Hyderabad 185/3 (20/20 ov)","Delhi Daredevils 189/4","T20L"
"Rising","Kolkata Knight Riders 155/8 (20/20 ov)","Rising Pune Supergiant 158/6","T20L"
"Delhi","Gujarat Lions 208/7 (20/20 ov)","Delhi Daredevils 214/3","T20L"
"Kings","Kings XI Punjab 138/7 (20/20 ov)","Royal Challengers Bangalore 119","T20L"
"Rising","Rising Pune Supergiant 148/8 (20/20 ov)","Sunrisers Hyderabad 136/9","T20L"
"Mumbai","Mumbai Indians 212/3 (20/20 ov)","Delhi Daredevils 66","T20L"
"Kolkata","Royal Challengers Bangalore 158/6 (20/20 ov)","Kolkata Knight Riders 159/4","T20L"
"Gujarat","Kings XI Punjab 189/3 (20/20 ov)","Gujarat Lions 192/4","T20L"
"Sunrisers","Mumbai Indians 138/7 (20/20 ov)","Sunrisers Hyderabad 140/3","T20L"
"Kings","Kings XI Punjab 167/6 (20/20 ov)","Kolkata Knight Riders 153/6","T20L"
"Delhi","Gujarat Lions 195/5 (20/20 ov)","Delhi Daredevils 197/8","T20L"
"Kings","Kings XI Punjab 230/3 (20/20 ov)","Mumbai Indians 223/6","T20L"
"Delhi","Delhi Daredevils 168/8 (20/20 ov)","Rising Pune Supergiant 161/7","T20L"
"Sunrisers","Gujarat Lions 154 (19.2/20 ov)","Sunrisers Hyderabad 158/2","T20L"
"Mumbai","Mumbai Indians 173/5 (20/20 ov)","Kolkata Knight Riders 164/8","T20L"
"Rising","Kings XI Punjab 73 (15.5/20 ov)","Rising Pune Supergiant 78/1","T20L"
"Royal","Royal Challengers Bangalore 161/6 (20/20 ov)","Delhi Daredevils 151","T20L"
"Rising","Rising Pune Supergiant 162/4 (20/20 ov)","Mumbai Indians 142/9","T20L"
"Kolkata","Sunrisers Hyderabad 128/7 (20/20 ov)","Kolkata Knight Riders 48/3","T20L"
"Mumbai","Kolkata Knight Riders 107 (18.5/20 ov)","Mumbai Indians 111/4","T20L"
"Mumbai","Mumbai Indians 129/8 (20/20 ov)","Rising Pune Supergiant 128/6","T20L"
"Leinster","Leinster Lightning 153/8 (20/20 ov)","North-West Warriors 97","T20L"
"Leinster","Northern Knights 157/8 (20/20 ov)","Leinster Lightning 158/3","T20L"
"Leinster","Leinster Lightning 247/4 (20/20 ov)","Munster Reds 188/9","T20L"
"North-West","Northern Knights 118 (19.2/20 ov)","North-West Warriors 122/7","T20L"
"North-West","North-West Warriors 142/5 (20/20 ov)","Munster Reds 117","T20L"
"Leinster","Leinster Lightning 136/9 (20/20 ov)","Northern Knights 128","T20L"
"North-West","Leinster Lightning 118 (19.3/20 ov)","North-West Warriors 119/3","T20L"
"Northern","Northern Knights 209/5 (20/20 ov)","Munster Reds 154/9","T20L"
"Leinster","Munster Reds 118 (19.2/20 ov)","Leinster Lightning 120/5","T20L"
"Northern","North-West Warriors 123/4 (20/20 ov)","Northern Knights 124/4","T20L"
"Match","Gloucestershire 182/5 (20/20 ov)","Middlesex 182/9","T20L"
"Warwickshire","Worcestershire 152/9 (20/20 ov)","Warwickshire 153/2","T20L"
"Lancashire","Lancashire 192/6 (20/20 ov)","Durham 140/7","T20L"
"Hampshire","Hampshire 167/5 (20/20 ov)","Glamorgan 145/9","T20L"
"Derbyshire","Northamptonshire 179/6 (20/20 ov)","Derbyshire 180/3","T20L"
"Yorkshire","Yorkshire 227/5 (20/20 ov)","Nottinghamshire 179/8","T20L"
"Surrey","Surrey 188/8 (20/20 ov)","Essex 186/6","T20L"
